year,stock,capture,index
1950,Coryphaena hippurus,1003,NA
1950,Panulirus argus,1300,NA
1950,Thunnus atlanticus,900,NA
1951,Coryphaena hippurus,1012,NA
1951,Panulirus argus,1100,NA
1951,Thunnus atlanticus,900,NA
1952,Coryphaena hippurus,1312,NA
1952,Panulirus argus,1300,NA
1952,Thunnus atlanticus,900,NA
1953,Coryphaena hippurus,1313,NA
1953,Panulirus argus,1200,NA
1953,Thunnus atlanticus,1000,NA
1954,Coryphaena hippurus,1114,NA
1954,Panulirus argus,1800,NA
1954,Thunnus atlanticus,1200,NA
1955,Coryphaena hippurus,1105,NA
1955,Panulirus argus,2300,NA
1955,Thunnus atlanticus,600,NA
1956,Coryphaena hippurus,1304,NA
1956,Panulirus argus,4400,NA
1956,Thunnus atlanticus,1000,NA
1957,Coryphaena hippurus,1509,NA
1957,Panulirus argus,6900,NA
1957,Thunnus atlanticus,1200,NA
1958,Coryphaena hippurus,1707,NA
1958,Panulirus argus,5600,NA
1958,Thunnus atlanticus,1900,NA
1959,Coryphaena hippurus,1808,NA
1959,Panulirus argus,8300,NA
1959,Thunnus atlanticus,2000,NA
1960,Coryphaena hippurus,1706,NA
1960,Panulirus argus,8400,NA
1960,Thunnus atlanticus,2000,NA
1961,Coryphaena hippurus,1914,NA
1961,Panulirus argus,8700,NA
1961,Thunnus atlanticus,1700,NA
1962,Coryphaena hippurus,1511,NA
1962,Mugil cephalus,500,NA
1962,Panulirus argus,8000,NA
1962,Thunnus atlanticus,2300,NA
1963,Coryphaena hippurus,1204,NA
1963,Mugil cephalus,2000,NA
1963,Panulirus argus,7900,NA
1963,Thunnus atlanticus,2400,NA
1964,Coryphaena hippurus,1213,NA
1964,Mugil cephalus,1800,NA
1964,Panulirus argus,7400,NA
1964,Thunnus atlanticus,2400,NA
1965,Coryphaena hippurus,1115,NA
1965,Mugil cephalus,2200,NA
1965,Panulirus argus,9900,NA
1965,Thunnus atlanticus,2200,NA
1966,Coryphaena hippurus,1635,NA
1966,Mugil cephalus,1500,NA
1966,Panulirus argus,9800,NA
1966,Thunnus atlanticus,2000,NA
1967,Coryphaena hippurus,2086,NA
1967,Mugil cephalus,1100,NA
1967,Panulirus argus,9000,NA
1967,Thunnus atlanticus,2300,NA
1968,Coryphaena hippurus,1744,NA
1968,Mugil cephalus,1000,NA
1968,Panulirus argus,9500,NA
1968,Thunnus atlanticus,2100,NA
1969,Coryphaena hippurus,1828,NA
1969,Mugil cephalus,1100,NA
1969,Panulirus argus,11600,NA
1969,Thunnus atlanticus,2400,NA
1970,Coryphaena hippurus,1700,NA
1970,Mugil cephalus,700,NA
1970,Panulirus argus,8400,NA
1970,Thunnus atlanticus,3600,NA
1971,Coryphaena hippurus,1800,NA
1971,Mugil cephalus,1200,NA
1971,Panulirus argus,9500,NA
1971,Thunnus atlanticus,3400,NA
1972,Coryphaena hippurus,1700,NA
1972,Mugil cephalus,1400,NA
1972,Panulirus argus,9600,NA
1972,Thunnus atlanticus,3000,NA
1973,Coryphaena hippurus,1500,NA
1973,Mugil cephalus,1100,NA
1973,Panulirus argus,9600,NA
1973,Thunnus atlanticus,980,NA
1974,Coryphaena hippurus,1607,NA
1974,Mugil cephalus,1128,NA
1974,Panulirus argus,10550,NA
1974,Thunnus atlanticus,1528,NA
1975,Coryphaena hippurus,2029,NA
1975,Mugil cephalus,1772,26890
1975,Panulirus argus,9943,NA
1975,Thunnus atlanticus,1182,NA
1976,Coryphaena hippurus,2354,NA
1976,Mugil cephalus,1451,26734
1976,Panulirus argus,11241,NA
1976,Thunnus atlanticus,1740,NA
1977,Coryphaena hippurus,2323,NA
1977,Mugil cephalus,1679,26499
1977,Panulirus argus,8320,NA
1977,Thunnus atlanticus,1808,NA
1978,Coryphaena hippurus,2215,NA
1978,Mugil cephalus,2097,26106
1978,Panulirus argus,11516,NA
1978,Thunnus atlanticus,2076,NA
1979,Coryphaena hippurus,2349,NA
