variable,year,mean,sd,lower,upper
b_t,1950,102658.515348927,39907.0272791966,63347.034025239,155735.411081596
b_t,1951,113121.037941941,42604.2496389812,72313.2209823384,167658.268483126
b_t,1952,121110.371895774,47624.429215478,78181.3443198573,182457.155605822
b_t,1953,125703.703206339,50884.7652895812,79711.5231890008,188730.496129442
b_t,1954,128871.285265138,54224.4459283043,81373.5163068212,192249.357588197
b_t,1955,129944.752254137,51863.3922143931,81908.1329884164,195261.690129464
b_t,1956,130157.212528682,51831.6949603086,80130.592259128,196595.452913146
b_t,1957,128474.410890947,53306.5423986102,78537.7322498415,195984.300489998
b_t,1958,124966.661630391,55983.2126752256,76467.0822464527,191228.235849647
b_t,1959,124225.735901375,53509.6804587557,76049.7702198567,194635.046806412
b_t,1960,121019.820872411,52652.2091889664,74237.7568939504,188112.572731002
b_t,1961,118881.224788092,51098.7615151251,71056.2422087449,188799.136595091
b_t,1962,117388.939587086,51522.4288660474,70574.6879217686,184412.886867537
b_t,1963,116745.7007713,52161.3725532255,69857.8423379525,181611.08931435
b_t,1964,116494.926507605,53085.3611572664,69852.6543104475,184865.985256896
b_t,1965,116607.164465123,52103.4741965678,70123.329114224,182594.48159394
b_t,1966,114149.856471529,52596.3927513625,68127.4345696994,181162.478682612
b_t,1967,112663.972129149,51524.5796143038,66651.1164871116,178861.593514202
b_t,1968,112454.382180275,50689.3663689923,66916.5344873628,177267.266441982
b_t,1969,111272.093068462,50466.4193668852,66195.0743386118,176049.431738933
b_t,1970,108365.406299057,50933.2073340804,64535.9066786308,171011.824982226
b_t,1971,109216.604528057,49377.6973622383,65338.2071297121,169771.081867043
b_t,1972,108332.773041862,48592.1013195658,65684.3270461028,168573.752736875
b_t,1973,107350.4905512,48309.1460219385,64881.158358672,168031.866757586
b_t,1974,106251.832263423,49055.2299601801,64525.7103682077,164863.261389373
b_t,1975,103578.982122431,47084.0468913925,62659.5894385107,161906.258310277
b_t,1976,101503.792435552,46644.7564171186,60739.7671460181,161256.984157605
b_t,1977,97474.4647923203,46595.6710695008,58262.390478239,156311.033038375
b_t,1978,96157.0530200292,46846.8004005532,58221.9443918073,151118.008556947
b_t,1979,91134.8162067456,45339.3661941116,54609.4440257332,143290.465473156
b_t,1980,85095.8487331517,43486.2564586882,51246.4548468694,134378.828012937
b_t,1981,79336.0877530344,41167.5069518175,47273.3285247346,125253.098797202
b_t,1982,72614.0996283174,36672.2884479801,42938.1119857589,114755.026015316
b_t,1983,65939.1285396375,32189.8772317018,39526.9776557148,104042.280183023
b_t,1984,63958.7345944795,31196.8085992159,38367.073928613,100814.254901769
b_t,1985,63583.8038837815,30162.3248937968,38328.0041796747,99084.6284550735
b_t,1986,65239.9188904268,31411.7273688626,38865.9418470011,103405.470328685
b_t,1987,72240.2188939579,35576.4562781103,42470.8417372027,114446.211184927
b_t,1988,81575.0546276164,40762.4387124481,48061.2787621401,129183.254108319
b_t,1989,90718.640726509,44580.7546983522,52989.9390861717,145561.487592423
b_t,1990,94820.4066025014,47057.9882976706,55114.6398378032,151531.110553705
